id,full_name,title,location,timezone,years_experience,skills,languages,education_level,degree_major,availability_weeks,willing_to_relocate,work_preference,notice_period_weeks,desired_salary_usd,open_to_contract,remote_experience_years,visa_status,citizenships,summary,tags,last_active,linkedin_url
1,Sydney Kim,Backend Engineer,"Cape Town, South Africa",Africa/Johannesburg,9,Rust;C#;GCP;Java,Hindi;Spanish;Mandarin,PhD,Computer Science,0,Yes,Remote,3,182475,Yes,8,Work Visa,India,"Backend Engineer with strong background in Rust, C#, GCP. Passionate about clean code and scalable systems.","qa,devops,mobile",2025-04-03,https://linkedin.com/in/candidate01
2,Jess Taylor,DevOps Engineer,"Cairo, Egypt",Africa/Cairo,1,Azure;Node.js;Next.js;Ruby,French,Master's,Computer Science,1,No,Remote,5,140165,No,1,Citizen,Nigeria,"DevOps Engineer with strong background in Azure, Node.js, Next.js. Passionate about clean code and scalable systems.","backend,machine‑learning,data",2025-05-07,https://linkedin.com/in/candidate02
3,Avery King,Product Engineer,"Auckland, New Zealand",Pacific/Auckland,12,Go;Azure;TypeScript;JavaScript;AWS;Rust;React,French,Bootcamp,Electrical Engineering,4,No,Hybrid,5,92638,No,11,Citizen,UK,"Product Engineer with strong background in Go, Azure, TypeScript. Passionate about clean code and scalable systems.","mobile,devops,qa",2025-04-27,https://linkedin.com/in/candidate03
4,Sydney Brown,QA Engineer,"Cape Town, South Africa",Africa/Johannesburg,8,Express;Angular;Ruby;RabbitMQ,Hindi;French;Arabic,Master's,Computer Science,3,Yes,Onsite,6,120186,Yes,7,Work Visa,South Africa,"QA Engineer with strong background in Express, Angular, Ruby. Passionate about clean code and scalable systems.","devops,mobile,frontend",2025-04-03,https://linkedin.com/in/candidate04
5,Jess Garcia,DevOps Engineer,"San Francisco, USA",America/Los_Angeles,8,FastAPI;Ruby;GCP;Spring;Node.js;GraphQL;Angular,French;German,PhD,Computer Science,12,Yes,Remote,2,91938,No,7,Needs Sponsorship,Nigeria,"DevOps Engineer with strong background in FastAPI, Ruby, GCP. Passionate about clean code and scalable systems.","frontend,fullstack,devops",2025-04-06,https://linkedin.com/in/candidate05
6,Quinn Smith,Frontend Engineer,"New York, USA",America/New_York,18,PostgreSQL;Docker;Next.js;Java;React,German;Portuguese,Bootcamp,Information Systems,8,Yes,Hybrid,1,128235,Yes,17,Citizen,UK,"Frontend Engineer with strong background in PostgreSQL, Docker, Next.js. Passionate about clean code and scalable systems.","cloud,mobile,fullstack",2025-05-04,https://linkedin.com/in/candidate06
7,Chris Wilson,Backend Engineer,"Nicosia, Cyprus",Asia/Nicosia,12,Rust;JavaScript;Kafka;Spring;TypeScript,Portuguese,Bootcamp,Software Engineering,2,No,Hybrid,2,119483,No,6,Needs Sponsorship,Australia,"Backend Engineer with strong background in Rust, JavaScript, Kafka. Passionate about clean code and scalable systems.","devops,qa,mobile",2025-04-25,https://linkedin.com/in/candidate07
8,Rowan Anderson,Cloud Architect,"Nicosia, Cyprus",Asia/Nicosia,8,TypeScript;Next.js;Python;Spring,French;Hindi;English,Bootcamp,Computer Science,3,Yes,Remote,5,68574,Yes,2,Work Visa,India,"Cloud Architect with strong background in TypeScript, Next.js, Python. Passionate about clean code and scalable systems.","data,machine‑learning,frontend",2025-04-10,https://linkedin.com/in/candidate08
9,Skylar Wilson,Machine Learning Engineer,"Bangalore, India",Asia/Kolkata,4,AWS;Node.js;Vue,Japanese;Portuguese,Bootcamp,Computer Science,0,No,Hybrid,5,78644,Yes,1,Work Visa,Cyprus,"Machine Learning Engineer with strong background in AWS, Node.js, Vue. Passionate about clean code and scalable systems.","devops,qa,data",2025-04-16,https://linkedin.com/in/candidate09
10,Jamie Gonzalez,Data Scientist,"Stockholm, Sweden",Europe/Stockholm,3,MongoDB;Redis;Kafka;FastAPI;Java;JavaScript,Hindi;English;Portuguese,Bachelor's,Software Engineering,6,No,Onsite,3,155130,Yes,2,Work Visa,Brazil,"Data Scientist with strong background in MongoDB, Redis, Kafka. Passionate about clean code and scalable systems.","cloud,fullstack,backend",2025-04-20,https://linkedin.com/in/candidate10
11,Hayden Walker,QA Engineer,"New York, USA",America/New_York,16,Go;React;JavaScript;Spring,Hindi;English;Arabic,Master's,Computer Science,0,No,Hybrid,8,91270,Yes,2,Citizen,South Africa,"QA Engineer with strong background in Go, React, JavaScript. Passionate about clean code and scalable systems.","qa,frontend,fullstack",2025-05-03,https://linkedin.com/in/candidate11
12,Quinn Williams,Machine Learning Engineer,"Nicosia, Cyprus",Asia/Nicosia,19,Spring;Kubernetes;JavaScript;TypeScript,Hindi;Arabic,Master's,Software Engineering,10,No,Remote,4,153752,Yes,2,Citizen,Australia,"Machine Learning Engineer with strong background in Spring, Kubernetes, JavaScript. Passionate about clean code and scalable systems.","data,machine‑learning,cloud",2025-03-16,https://linkedin.com/in/candidate12
13,Reese Taylor,Frontend Engineer,"Nicosia, Cyprus",Asia/Nicosia,18,Flask;Ruby;C#;RabbitMQ,Spanish;French,Master's,Information Systems,2,No,Hybrid,4,188658,Yes,4,Needs Sponsorship,Germany,"Frontend Engineer with strong background in Flask, Ruby, C#. Passionate about clean code and scalable systems.","qa,data,mobile",2025-05-08,https://linkedin.com/in/candidate13
14,Rowan Kim,QA Engineer,"San Francisco, USA",America/Los_Angeles,9,Kubernetes;Go;Azure;Next.js;AWS,Mandarin;Portuguese;German,Bootcamp,Computer Science,10,No,Onsite,0,50929,No,7,Work Visa,Nigeria,"QA Engineer with strong background in Kubernetes, Go, Azure. Passionate about clean code and scalable systems.","cloud,data,frontend",2025-03-28,https://linkedin.com/in/candidate14
15,Alex Kim,Frontend Engineer,"Auckland, New Zealand",Pacific/Auckland,5,JavaScript;GraphQL;Vue;Spring;FastAPI;C#;Node.js,English,Master's,Information Systems,12,Yes,Onsite,3,115412,Yes,1,Permanent Resident,New Zealand,"Frontend Engineer with strong background in JavaScript, GraphQL, Vue. Passionate about clean code and scalable systems.","mobile,fullstack,data",2025-03-28,https://linkedin.com/in/candidate15
16,Casey Young,Full‑Stack Developer,"Auckland, New Zealand",Pacific/Auckland,14,.NET;GCP;RabbitMQ,Japanese;French,Master's,Software Engineering,12,Yes,Onsite,0,173388,Yes,13,Permanent Resident,India,"Full‑Stack Developer with strong background in .NET, GCP, RabbitMQ. Passionate about clean code and scalable systems.","devops,machine‑learning,cloud",2025-04-25,https://linkedin.com/in/candidate16
